"sp"	"x"	"y"
"252"	"Euterpe edulis"	-47.974033	-24.141417
"253"	"Euterpe edulis"	-47.974033	-24.141417
"254"	"Euterpe edulis"	-47.974033	-24.141417
"255"	"Euterpe edulis"	-47.974033	-24.141417
"256"	"Euterpe edulis"	-47.974033	-24.141417
"257"	"Euterpe edulis"	-47.974033	-24.141417
"258"	"Euterpe edulis"	-47.974033	-24.141417
"259"	"Euterpe edulis"	-47.974033	-24.141417
"260"	"Euterpe edulis"	-47.974033	-24.141417
"261"	"Euterpe edulis"	-47.974033	-24.141417
"262"	"Euterpe edulis"	-47.974033	-24.141417
"263"	"Euterpe edulis"	-47.974033	-24.141417
"264"	"Euterpe edulis"	-47.974033	-24.141417
"265"	"Euterpe edulis"	-48.27359	-24.308775
"266"	"Euterpe edulis"	-48.27359	-24.308775
"267"	"Euterpe edulis"	-48.27359	-24.308775
"268"	"Euterpe edulis"	-46.633309	-23.55052
"269"	"Euterpe edulis"	-39.029874	-15.19541
"270"	"Euterpe edulis"	-22.829167	-47.109167
"271"	"Euterpe edulis"	-47.994008	-23.878686
"272"	"Euterpe edulis"	-48.375118	-24.109957
"273"	"Euterpe edulis"	-48.375118	-24.109957
"274"	"Euterpe edulis"	-46.058952	-23.80643
"275"	"Euterpe edulis"	-48.829071	-25.482748
"276"	"Euterpe edulis"	-48.375118	-24.109957
"277"	"Euterpe edulis"	-47.994008	-23.878686
"278"	"Euterpe edulis"	-48.375118	-24.109957
"279"	"Euterpe edulis"	-48.375118	-24.109957
"280"	"Euterpe edulis"	-48.375118	-24.109957
"281"	"Euterpe edulis"	-48.375118	-24.109957
"282"	"Euterpe edulis"	-47.507167	-23.963247
"283"	"Euterpe edulis"	-48.829071	-25.482748
"284"	"Euterpe edulis"	-48.375118	-24.109957
"285"	"Euterpe edulis"	-46.785033	-24.181799
"286"	"Euterpe edulis"	-47.994008	-23.878686
"287"	"Euterpe edulis"	-48.375118	-24.109957
"288"	"Euterpe edulis"	-48.375118	-24.109957
"289"	"Euterpe edulis"	-48.375118	-24.109957
"290"	"Euterpe edulis"	-46.785033	-24.181799
"291"	"Euterpe edulis"	-47.507167	-23.963247
"292"	"Euterpe edulis"	-48.375118	-24.109957
"293"	"Euterpe edulis"	-47.994008	-23.878686
"294"	"Euterpe edulis"	-47.994008	-23.878686
"295"	"Euterpe edulis"	-48.375118	-24.109957
"296"	"Euterpe edulis"	-48.844739	-24.511309
"297"	"Euterpe edulis"	-48.597586	-24.585208
"298"	"Euterpe edulis"	-48.375118	-24.109957
"299"	"Euterpe edulis"	-48.375118	-24.109957
"300"	"Euterpe edulis"	-44.451335	-22.470966
"301"	"Euterpe edulis"	-51.426405	-23.415773
"302"	"Euterpe edulis"	-44.451335	-22.470966
"303"	"Euterpe edulis"	-44.567911	-22.490203
"304"	"Euterpe edulis"	-47.001656	-24.313115
"305"	"Euterpe edulis"	-46.633309	-23.55052
"306"	"Euterpe edulis"	-46.633309	-23.55052
"307"	"Euterpe edulis"	-45.401653	-23.806347
"308"	"Euterpe edulis"	-44.451335	-22.470966
"309"	"Euterpe edulis"	-46.852186	-23.651509
"310"	"Euterpe edulis"	-45.708082	-23.099697
"311"	"Euterpe edulis"	-48.597586	-24.585208
"312"	"Euterpe edulis"	-48.916775	-27.28364
"313"	"Euterpe edulis"	-48.658918	-26.07991
"314"	"Euterpe edulis"	-46.739549	-21.661612
"315"	"Euterpe edulis"	-46.590279	-23.319505
"316"	"Euterpe edulis"	-47.507167	-23.963247
"317"	"Euterpe edulis"	-47.507167	-23.963247
"318"	"Euterpe edulis"	-47.507167	-23.963247
"319"	"Euterpe edulis"	-49.178752	-25.925667
"320"	"Euterpe edulis"	-43.791995	-21.839859
"321"	"Euterpe edulis"	-48.375118	-24.109957
"322"	"Euterpe edulis"	-46.624685	-23.728256
"323"	"Euterpe edulis"	-46.633309	-23.55052
"324"	"Euterpe edulis"	-48.658918	-26.07991
"325"	"Euterpe edulis"	-47.401344	-20.539329
"326"	"Euterpe edulis"	-47.071492	-23.928915
"327"	"Euterpe edulis"	-46.633309	-23.55052
"328"	"Euterpe edulis"	-49.178752	-25.925667
"329"	"Euterpe edulis"	-44.567911	-22.490203
"330"	"Euterpe edulis"	-45.401653	-23.806347
"331"	"Euterpe edulis"	-47.994008	-23.878686
"332"	"Euterpe edulis"	-48.54822	-27.59487
"333"	"Euterpe edulis"	-46.33894	-22.029678
"334"	"Euterpe edulis"	-48.547366	-27.159071
"335"	"Euterpe edulis"	-49.345011	-26.433418
"336"	"Euterpe edulis"	-47.462913	-24.277132
"337"	"Euterpe edulis"	-46.624685	-23.728256
"338"	"Euterpe edulis"	-47.071492	-23.928915
"339"	"Euterpe edulis"	-49.321564	-28.525648
"340"	"Euterpe edulis"	-48.781786	-27.685684
"341"	"Euterpe edulis"	-48.597586	-24.585208
"342"	"Euterpe edulis"	-44.394713	-22.167531
"343"	"Euterpe edulis"	-51.184849	-29.65404
"344"	"Euterpe edulis"	-45.401653	-23.806347
"345"	"Euterpe edulis"	-46.624685	-23.728256
"346"	"Euterpe edulis"	-47.001656	-24.313115
"347"	"Euterpe edulis"	-49.321564	-28.525648
"348"	"Euterpe edulis"	-47.001656	-24.313115
"349"	"Euterpe edulis"	-48.597586	-24.585208
"350"	"Euterpe edulis"	-46.633309	-23.55052
"351"	"Euterpe edulis"	-46.680192	-24.107525
"352"	"Euterpe edulis"	-48.829071	-25.482748
"353"	"Euterpe edulis"	-47.001656	-24.313115
"354"	"Euterpe edulis"	-40.335658	-19.265442
"355"	"Euterpe edulis"	-46.633309	-23.55052
"356"	"Euterpe edulis"	-47.001656	-24.313115
"357"	"Euterpe edulis"	-47.507167	-23.963247
"358"	"Euterpe edulis"	-47.935273	-25.012545
"359"	"Euterpe edulis"	-46.680192	-24.107525
"360"	"Euterpe edulis"	-48.54822	-27.59487
"361"	"Euterpe edulis"	-43.172897	-22.906847
"362"	"Euterpe edulis"	-46.680192	-24.107525
"363"	"Euterpe edulis"	-47.507167	-23.963247
"364"	"Euterpe edulis"	-47.507167	-23.963247
"365"	"Euterpe edulis"	-43.172897	-22.906847
"366"	"Euterpe edulis"	-45.401653	-23.806347
"367"	"Euterpe edulis"	-40.598329	-19.936828
"368"	"Euterpe edulis"	-46.680192	-24.107525
"369"	"Euterpe edulis"	-47.071492	-23.928915
"370"	"Euterpe edulis"	-46.633309	-23.55052
"371"	"Euterpe edulis"	-46.785033	-24.181799
"372"	"Euterpe edulis"	-47.071492	-23.928915
"373"	"Euterpe edulis"	-48.846383	-26.304408
"374"	"Euterpe edulis"	-46.785033	-24.181799
"375"	"Euterpe edulis"	-48.597586	-24.585208
"376"	"Euterpe edulis"	-46.785033	-24.181799
"377"	"Euterpe edulis"	-44.394713	-22.167531
"378"	"Euterpe edulis"	-46.785033	-24.181799
"379"	"Euterpe edulis"	-48.375118	-24.109957
"380"	"Euterpe edulis"	-46.058952	-23.80643
"381"	"Euterpe edulis"	-45.311698	-23.222882
"382"	"Euterpe edulis"	-48.375118	-24.109957
"383"	"Euterpe edulis"	-49.550822	-22.292324
"384"	"Euterpe edulis"	-42.690053	-21.392882
"385"	"Euterpe edulis"	-42.690053	-21.392882
"386"	"Euterpe edulis"	-40.065512	-19.394829
"387"	"Euterpe edulis"	-44.567911	-22.490203
"388"	"Euterpe edulis"	-48.781786	-27.685684
"389"	"Euterpe edulis"	-47.001656	-24.313115
"390"	"Euterpe edulis"	-46.785033	-24.181799
"391"	"Euterpe edulis"	-40.750067	-20.636206
"392"	"Euterpe edulis"	-46.785033	-24.181799
"393"	"Euterpe edulis"	-48.576023	-25.881906
"394"	"Euterpe edulis"	-48.916775	-27.28364
"395"	"Euterpe edulis"	-48.846383	-26.304408
"396"	"Euterpe edulis"	-40.744316	-20.025785
"397"	"Euterpe edulis"	-46.680192	-24.107525
"398"	"Euterpe edulis"	-46.396136	-23.960745
"399"	"Euterpe edulis"	-44.567911	-22.490203
"400"	"Euterpe edulis"	-48.916775	-27.28364
"401"	"Euterpe edulis"	-46.396136	-23.960745
"402"	"Euterpe edulis"	-46.424436	-23.891631
"403"	"Euterpe edulis"	-48.916775	-27.28364
"404"	"Euterpe edulis"	-48.916775	-27.28364
"405"	"Euterpe edulis"	-44.868447	-22.286404
"406"	"Euterpe edulis"	-44.720476	-23.220054
"407"	"Euterpe edulis"	-48.576023	-25.881906
"408"	"Euterpe edulis"	-48.781786	-27.685684
"409"	"Euterpe edulis"	-46.785033	-24.181799
"410"	"Euterpe edulis"	-46.785033	-24.181799
"411"	"Euterpe edulis"	-48.597586	-24.585208
"412"	"Euterpe edulis"	-46.785033	-24.181799
"413"	"Euterpe edulis"	-44.451335	-22.470966
"414"	"Euterpe edulis"	-47.401344	-20.539329
"415"	"Euterpe edulis"	-46.439305	-20.177911
"416"	"Euterpe edulis"	-46.439305	-20.177911
"417"	"Euterpe edulis"	-47.401344	-20.539329
"418"	"Euterpe edulis"	-48.781786	-27.685684
"419"	"Euterpe edulis"	-51.690665	-24.181608
"420"	"Euterpe edulis"	-49.26952	-26.825137
"421"	"Euterpe edulis"	-42.53408	-22.288726
"422"	"Euterpe edulis"	-48.855503	-26.029674
"423"	"Euterpe edulis"	-40.776661	-20.441979
"424"	"Euterpe edulis"	-47.974033	-24.141417
"425"	"Euterpe edulis"	-47.974033	-24.141417
"426"	"Euterpe edulis"	-47.858	-25.1219
"427"	"Euterpe edulis"	-47.858	-25.1219
"428"	"Euterpe edulis"	-47.858	-25.1219
"429"	"Euterpe edulis"	-47.858	-25.1219
"430"	"Euterpe edulis"	-47.858	-25.1219
"431"	"Euterpe edulis"	-47.858	-25.1219
"432"	"Euterpe edulis"	-47.858	-25.1219
"433"	"Euterpe edulis"	-47.858	-25.1219
"434"	"Euterpe edulis"	-47.858	-25.1219
"435"	"Euterpe edulis"	-42.88	-20.75
"436"	"Euterpe edulis"	-42.88	-20.75
"437"	"Euterpe edulis"	-42.88	-20.75
"438"	"Euterpe edulis"	-42.88	-20.75
"439"	"Euterpe edulis"	-45.02	-23.52
"440"	"Euterpe edulis"	-45.02	-23.52
"441"	"Euterpe edulis"	-45.02	-23.52
"442"	"Euterpe edulis"	-48.406944	-24.265278
"443"	"Euterpe edulis"	-48.406944	-24.265278
"444"	"Euterpe edulis"	-48.406944	-24.265278
"445"	"Euterpe edulis"	-48.406944	-24.265278
"446"	"Euterpe edulis"	-48.406944	-24.265278
"447"	"Euterpe edulis"	-48.406944	-24.265278
"448"	"Euterpe edulis"	-48.406944	-24.265278
"449"	"Euterpe edulis"	-48.406944	-24.265278
"450"	"Euterpe edulis"	-48.406944	-24.265278
"451"	"Euterpe edulis"	-48.406944	-24.265278
"452"	"Euterpe edulis"	-48.406944	-24.265278
"453"	"Euterpe edulis"	-48.406944	-24.265278
"454"	"Euterpe edulis"	-48.406944	-24.265278
"455"	"Euterpe edulis"	-48.406944	-24.265278
"456"	"Euterpe edulis"	-48.406944	-24.265278
"457"	"Euterpe edulis"	-48.406944	-24.265278
"458"	"Euterpe edulis"	-49.550822	-22.292324
"459"	"Euterpe edulis"	-49.550822	-22.292324
