"species"	"decimalLongitude"	"decimalLatitude"
"373"	"Ramphastos dicolorus"	-53.9	-26.47
"374"	"Ramphastos dicolorus"	-53.9	-26.47
"375"	"Ramphastos dicolorus"	-53.9	-26.47
"376"	"Ramphastos dicolorus"	-53.9	-26.47
"377"	"Ramphastos dicolorus"	-53.9	-26.47
"378"	"Ramphastos dicolorus"	-53.9	-26.47
"379"	"Ramphastos dicolorus"	-53.9	-26.47
"380"	"Ramphastos dicolorus"	-54.6	-25.9
"381"	"Ramphastos dicolorus"	-42.37	-20.08
"382"	"Ramphastos dicolorus"	-53.9	-26.47
"383"	"Ramphastos dicolorus"	-53.9	-26.47
"384"	"Ramphastos dicolorus"	-53.9	-26.47
"385"	"Ramphastos dicolorus"	-53.9	-26.47
"386"	"Ramphastos dicolorus"	-53.9	-26.47
"387"	"Ramphastos dicolorus"	-53.9	-26.47
"388"	"Ramphastos dicolorus"	-53.9	-26.47
"389"	"Ramphastos dicolorus"	-53.9	-26.47
"390"	"Ramphastos dicolorus"	-53.9	-26.47
"391"	"Ramphastos dicolorus"	-53.9	-26.47
"392"	"Ramphastos dicolorus"	-53.9	-26.47
"393"	"Ramphastos dicolorus"	-53.9	-26.47
"394"	"Ramphastos dicolorus"	-53.9	-26.47
"395"	"Ramphastos dicolorus"	-53.9	-26.47
"396"	"Ramphastos dicolorus"	-53.9	-26.47
"397"	"Ramphastos dicolorus"	-53.9	-26.47
"398"	"Ramphastos dicolorus"	-53.9	-26.47
"399"	"Ramphastos dicolorus"	-53.9	-26.47
"400"	"Ramphastos dicolorus"	-53.9	-26.47
"401"	"Ramphastos dicolorus"	-53.9	-26.47
"402"	"Ramphastos dicolorus"	-53.9	-26.47
"403"	"Ramphastos dicolorus"	-53.9	-26.47
"404"	"Ramphastos dicolorus"	-53.9	-26.47
"405"	"Ramphastos dicolorus"	-53.9	-26.47
"406"	"Ramphastos dicolorus"	-53.9	-26.47
"407"	"Ramphastos dicolorus"	-54.6	-25.9
"408"	"Ramphastos dicolorus"	-54.6	-25.9
"409"	"Ramphastos dicolorus"	-53.9	-26.47
"410"	"Ramphastos dicolorus"	-53.9	-26.47
"411"	"Ramphastos dicolorus"	-53.9	-26.47
"412"	"Ramphastos dicolorus"	-53.9	-26.47
"413"	"Ramphastos dicolorus"	-53.9	-26.47
"414"	"Ramphastos dicolorus"	-53.9	-26.47
"415"	"Ramphastos dicolorus"	-53.9	-26.47
"416"	"Ramphastos dicolorus"	-53.9	-26.47
"417"	"Ramphastos dicolorus"	-53.9	-26.47
"418"	"Ramphastos dicolorus"	-53.9	-26.47
"419"	"Ramphastos dicolorus"	-53.9	-26.47
"420"	"Ramphastos dicolorus"	-53.9	-26.47
"421"	"Ramphastos dicolorus"	-53.9	-26.47
"422"	"Ramphastos dicolorus"	-53.9	-26.47
"423"	"Ramphastos dicolorus"	-53.9	-26.47
"424"	"Ramphastos dicolorus"	-53.9	-26.47
"425"	"Ramphastos dicolorus"	-53.9	-26.47
"426"	"Ramphastos dicolorus"	-53.9	-26.47
"427"	"Ramphastos dicolorus"	-53.9	-26.47
"428"	"Ramphastos dicolorus"	-53.9	-26.47
"429"	"Ramphastos dicolorus"	-53.9	-26.47
"430"	"Ramphastos dicolorus"	-53.9	-26.47
"431"	"Ramphastos dicolorus"	-53.9	-26.47
"432"	"Ramphastos dicolorus"	-47.55	-24.72
"433"	"Ramphastos dicolorus"	-47.55	-24.72
"434"	"Ramphastos dicolorus"	-54.10235	-26.630362
"435"	"Ramphastos dicolorus"	-54.827625	-27.058887
"436"	"Ramphastos dicolorus"	-54.439857	-25.686123
"437"	"Ramphastos dicolorus"	-48.2985	-24.312246
"438"	"Ramphastos dicolorus"	-44.756813	-22.373522
"439"	"Ramphastos dicolorus"	-54.827625	-27.058887
"440"	"Ramphastos dicolorus"	-48.2985	-24.312246
"441"	"Ramphastos dicolorus"	-44.61104	-22.444906
"442"	"Ramphastos dicolorus"	-48.2985	-24.312246
"443"	"Ramphastos dicolorus"	-54.455452	-25.683304
"444"	"Ramphastos dicolorus"	-54.10235	-26.630362
"445"	"Ramphastos dicolorus"	-44.624233	-22.406586
"446"	"Ramphastos dicolorus"	-44.624233	-22.406586
"447"	"Ramphastos dicolorus"	-45.464172	-23.579092
"448"	"Ramphastos dicolorus"	-44.61104	-22.444906
"449"	"Ramphastos dicolorus"	-46.620476	-23.639172
"450"	"Ramphastos dicolorus"	-44.624233	-22.406586
"451"	"Ramphastos dicolorus"	-44.60782	-22.437885
"452"	"Ramphastos dicolorus"	-44.740753	-22.42834
"453"	"Ramphastos dicolorus"	-45.59418	-22.680063
"454"	"Ramphastos dicolorus"	-44.61104	-22.444906
"455"	"Ramphastos dicolorus"	-44.61104	-22.444906
"456"	"Ramphastos dicolorus"	-44.624233	-22.406586
"457"	"Ramphastos dicolorus"	-44.756813	-22.373522
"458"	"Ramphastos dicolorus"	-48.2985	-24.312246
"459"	"Ramphastos dicolorus"	-45.571762	-22.711906
"460"	"Ramphastos dicolorus"	-45.642	-22.6797
"461"	"Ramphastos dicolorus"	-44.61104	-22.444906
"462"	"Ramphastos dicolorus"	-44.61104	-22.444906
"463"	"Ramphastos dicolorus"	-44.61104	-22.444906
"464"	"Ramphastos dicolorus"	-45.57217	-22.71826
"465"	"Ramphastos dicolorus"	-48.2985	-24.312246
"466"	"Ramphastos dicolorus"	-48.2985	-24.312246
"467"	"Ramphastos dicolorus"	-45.417114	-23.877754
"468"	"Ramphastos dicolorus"	-44.61104	-22.444906
